Código;Nome;Categoria;Stock;Valor Unit.;Valor Total
;Glutamax Forte - blister com 10 comprimidos;Suplemento;0.00;0;0
;TOW CÃO ADULTO BISONTE 2KG - H. Prairie;Canídeos - Ração - Seca;0.00;0;0
;Onsior 40mg - um comprimido;Medicamentos;0.00;0;0
;Churu Dog Rolls Frango c/Salmão (8x96g);Canídeos - Ração - Húmida;7.00;29,12;29,12
;Sistema de soro sem regulador - embalagem *f;Consumíveis;10.00;45;45
;Glutamax Forte - caixa com 10 blisters *c;Suplemento;0.00;0;0
;AD Dog Sensitive Lamb and Rice 3kg;Canídeos - Ração - Seca;0.00;0;0
;RC Cat Kitten (gravy) - Saqueta 85g;Felídeos - Ração - Húmida;0.00;0;0
;Churu Kitten Atum - Saqueta (4x14g);Felídeos - Ração - Húmida;0.00;0;0
;Torneira 3 vias;Consumíveis;43.00;22,79;22,79
;Applaws Cat Kitten Chicken 2kg;Felídeos - Ração - Seca;0.00;0;0
;Florentero - blister de 10 comprimidos;Suplemento;0.00;0;0
;AD Cat Urinary Sterilized Low Calorie 1.25kg;Felídeos - Ração - Seca;1.00;10,8;10,8
;Renal P - embalagem 70g;Suplemento;0.00;0;0
;Dermoscent Atop7 0-10kg - 1 pipeta;Suplemento;0.00;0;0
;RC Dog Diabetic 1,5Kg;Canídeos - Ração - Seca;0.00;0;0
;Churu Kitten Frango - Saqueta (4x14g);Felídeos - Ração - Húmida;0.00;0;0
;AD Dog Mini Sensitive Salmon and Rice 7kg;Canideos e Felídeos - Ração - Seca;0.00;0;0
;Clavaseptin / Penamox / Cylanic 62,5 (amoxicilina + ácido clavulânico) - comprimido;Medicamentos;366.00;65,88;65,88
;Nutri-plus gel 120,5g;Suplemento;0.00;0;0
;Schesir Gato Atum/Pescada 85g - latinha;Felídeos - Ração - Húmida;0.00;0;0
;Dermoscent Atop7 10-20kg - 1 pipeta;Suplemento;0.00;0;0
;RC Cat Renal Select 2Kg;Felídeos - Ração - Seca;0.00;0;0
;Vacina leishmaniose LETIFEND;Canídeos - Vacinas;6.00;229,98;229,98
;Ursofalk 250mg - Blister 10 cápsulas;Medicamentos;13.00;39,65;39,65
;Dermoscent Atop7 20-40kg - 1 pipeta;Suplemento;0.00;0;0
;Kong Dynos Roars Blue M/L;Outros;1.00;8,55;8,55
;RC Mini Puppy 4kg;Canídeos - Ração - Seca;0.00;0;0
;Marcador Raidex - azul;Animais de produção - Consumíveis;0.00;0;0
;Flexadin - 1 comprimido;Suplemento;0.00;0;0
;Toalhitas Inodorina Citronella 40un;Bem-estar Animal;0.00;0;0
;Canitroid palatável 200ug - caixa de 250cp;Medicamentos;0.00;0;0
;Effitix XS (1,5-4kg) - pipeta;Canídeos e Felídeos - Desp.externo;0.00;0;0
;Apelka 5mg/ml 30mL - Embalagem;Medicamentos;0.00;0;0
;Kong Scrunch Knots Racoon;Outros;0.00;0;0
;Marcador Raidex - vermelho;Animais de produção - Consumíveis;0.00;0;0
;Kong Easy Treat - Pasta Liver;Bem-estar Animal;0.00;0;0
;Advantage 40 gato - pipeta;Felídeos - Desp.externo;0.00;0;0
;RC Cat Urinary S/O - Saqueta 85g (Morsels in gravy);Felídeos - Ração - Húmida;20.00;19;19
;Purina Proplan Obesity (OM) 85g - Saqueta;Felídeos - Ração - Húmida;0.00;0;0
;Effitix S (4-10kg) - pipeta;Canídeos - Desp.externo - Pipeta;0.00;0;0
;RC Cat Diabetic 1,5kg;Felídeos - Ração - Seca;0.00;0;0
;RC Dog Gastro Intestinal Low Fat - 3,5Kg;Canídeos - Ração - Seca;0.00;0;0
;Bioquimica - Perfil Painel completo;Análises - Pack ;17.00;266,22;266,22
;Calimicina 250ml;Animais de produção - Medicamentos;0.00;0;0
;Omnicutis Gel - 1 embalagem 200ml;Suplemento;0.00;0;0
;Cardisure 10mg / Pimosure 10mg - CAIXA;Medicamentos;4.00;265,04;265,04
;Effitix M (10-20kg) - pipeta;Canídeos - Desp.externo;0.00;0;0
;Librela 15mg (20-30kg) - 1ml;Medicamentos;11.00;454,63;454,63
;Josera Cão Renal 10Kg;Canídeos - Ração - Seca;0.00;0;0
;Agulha 21G - verde *f (animais produção);Animais de produção - Consumíveis;0.00;0;0
;SP FRD Weight Redution 6Kg;Felídeos - Ração - Seca;0.00;0;0
;Apoquel 05,4mg - comprimido;Medicamentos;0.00;0;0
;Schesir Gato Atum/Papaia 85g - Sopa;Felídeos - Ração - Húmida;0.00;0;0
;Effitix L (20-40kg) - pipeta;Canídeos - Desp.externo;0.00;0;0
;Duphafral multi inj 100ml;Animais de produção - Medicamentos;0.00;0;0
;Impromune - 1 comprimido;Suplemento;0.00;0;0
;AD Dog Atopic Truta 3Kg;Canídeos - Ração - Seca;1.00;18,19;18,19
;Schesir NS Cão Small Peru 490g;Canídeos - Ração - Seca;0.00;0;0
;Effitix XL (+40kg) - pipeta;Canídeos - Desp.externo;0.00;0;0
;HPM Adult Neutered Dog Large & Medium 12Kg;Canídeos - Ração - Seca;1.00;43,94;43,94
;Engemicina spray 200ml;Animais de produção - Medicamentos;0.00;0;0
;Hemosilate - 1 ampola;Injectáveis;5.00;53,25;53,25
;Mitex - embalagem de 20ml;Medicamentos;0.00;0;0
;AD Cat Gastroenteric Sensitive 7,5kg;Felídeos - Ração - Seca;2.00;86,4;86,4
;Bupivacaina - ampola *f;Injectáveis;0.00;0;0
;Facilpart 10ul/ml inj 250ml;Animais de produção - Medicamentos;0.00;0;0
;TOW GATO VEADO 6,6KG - Rocky Mountain Feline;Felídeos - Ração - Seca;0.00;0;0
;RC Cat Renal Select - 400g;Canídeos - Ração - Seca;0.00;0;0
;Coletor de urina para Cães;Bem-estar Animal;11.00;18,04;18,04
;Buprenorfina (Bupaq/Buprenodale) - 10ml *f;Injectáveis;8.00;94,24;94,24
;Seponver plus 5lt;Animais de produção - Medicamentos;0.00;0;0
;Leisguard Pack 2 embalagens;Medicamentos;0.00;0;0
;RC Recovery Liquid 200ml;Canideos e Felídeos - Ração - Húmida;0.00;0;0
;RC Cat Multifunction Renal&Hipo - 2kg;Felídeos - Ração - Seca;0.00;0;0
;Schesir Gato Arroz/Atum/Sardinha 85g - latinha;Felídeos - Ração - Húmida;13.00;15,6;15,6
;Ataxxa 200/40mg Cão menos de 4kg - pipeta;Canídeos - Desp.externo - Pipeta;13.00;48,75;48,75
;Alsir solução oral 150ml;Animais de produção - Medicamentos;0.00;0;0
;Alfaxan - frasco 10ml  *f;Medicamentos;0.00;0;0
;SP FDD-HY Food Allergy Management  HY* 2 KG;Felídeos - Ração - Seca;0.00;0;0
;Cutania Champô Glycoat 355ml;Bem-estar Animal;0.00;0;0
;Manipulado Telmisartan - 90 cápsulas;Medicamentos;0.00;0;0
;Schesir Gato Atum/Salmonete 85g - latinha;Felídeos - Ração - Húmida;1.00;1,2;1,2
;Kruuse Heparin Cap;Bem-estar Animal;100.00;21;21
;Amanova Puppy Medium Frango&Quinoa 2Kg;Canídeos - Ração - Seca;0.00;0;0
;Milteforam 20mg/ml - Solução oral 30ml;Medicamentos;0.00;0;0
;Diazepam - 2 ml *f;Injectáveis;47.00;60,16;60,16
;Ranitidina 150mg - comprimido;Medicamentos;0.00;0;0
;Applaws Cat Adult Chicken 2kg;Felídeos - Ração - Seca;0.00;0;0
;Comfortis 180mg (2,9-3,6kg) - comprimido;Canídeos e Felídeos - Desp.externo - Comprimido;0.00;0;0
;Instinct Cat No Grain Adult Chicken Paté 70gr;Felídeos - Ração - Húmida;0.00;0;0
;Schesir Gato Frango/Bovino/Manga/Feijão verde 85g - latinha;Felídeos - Ração - Húmida;1.00;1,2;1,2
;2024 Kong Holiday Dog Comfort Hedgehug Natal;Outros;0.00;0;0
;Firodyl (firocoxib) 250mg - comprimido;Medicamentos;31.00;37,51;37,51
;Milteforam 20mg/ml - Solução oral 90ml;Medicamentos;0.00;0;0
;TOW CÃO LATA SALMÃO;Canídeos - Ração - Húmida;0.00;0;0
;Comfortis 140mg (1,9-2,8kg) - comprimido;Canídeos e Felídeos - Desp.externo - Comprimido;0.00;0;0
;2024 Kong Holiday Dog Wildknots Bear M/L Natal;Outros;0.00;0;0
;Apovomin (apomorfina) - Frasco 5ml *f;Medicamentos;1.00;24,83;24,83
;Midazolam - 3ml/10ml *f;Injectáveis;0.00;0;0
;Omeprazol 10mg - cápsula;Medicamentos;15.00;1,2;1,2
;TOW CÃO LATA VACA;Canídeos - Ração - Húmida;0.00;0;0
;Instinct Cat No Grain Adult Beef Paté 70gr;Felídeos - Ração - Húmida;0.00;0;0
;Dermoscent Pyoclean 20 toalhitas;Bem-estar Animal;0.00;0;0
;Palladia 50mg - embalagem de 20 comprimidos;Medicamentos;0.00;0;0
;Trilotab 30mg - Caixa 30 comprimidos;Medicamentos;0.00;0;0
;Agribon - Pó soluvel oral - 100gr;Animais de produção - Medicamentos;0.00;0;0
;Instinct Cat No Grain Adult Salmon Paté 70gr;Felídeos - Ração - Húmida;0.00;0;0
;Phovia - boião de gel;Tratamentos;4.00;71,16;71,16
;HPM A1 Dog Hypoallergy Insecto 12Kg;Canídeos - Ração - Seca;1.00;80,69;80,69
;Amanova Adult Exigent All Breeds Venison Supreme 10Kg;Canídeos - Ração - Seca;1.00;41,25;41,25
;WeJoint Plus R. Grandes - caixa de 30 comprimidos;Suplemento;4.00;62,28;62,28
;Instinct Cat No Grain Adult Fish Paté 70gr;Felídeos - Ração - Húmida;0.00;0;0
;RC Cat Diabetic 3,5kg;Felídeos - Ração - Seca;0.00;0;0
;Omnimatrix Septifree Spray 50ml;Tratamentos;4.00;40,36;40,36
;Fato pós-cirurgia gato Tm04 Dry Macho/Fêmea - Rosa;Bem-estar Animal;4.00;95,4;95,4
;Oflex 3mg/ml - colírio 10ml;Medicamentos;7.00;32,41;32,41
;Schesir NS Cão Small Atum 490g;Canídeos - Ração;0.00;0;0
;RC Cat Early Renal 3.5Kg;Felídeos - Ração - Seca;0.00;0;0
;Propofol - 20ml *f;Injectáveis;0.00;0;0
;Fato pós-cirurgia cão Tm01 Macho/Fêmea Dry - Rosa/verde;Bem-estar Animal;1.00;20,25;20,25
;Crotax 10mg/g - pomada 5g;Medicamentos;0.00;0;0
;AD Cat Urinary 8kg;Felídeos - Ração - Seca;0.00;0;0
;RC Cat Early Renal 85g;Felídeos - Ração - Húmida;2.00;1,86;1,86
;Fato pós-cirurgia cão Tm04 Macho/Fêmea Dry - Rosa/Verde;Bem-estar Animal;1.00;21,8;21,8
;Oflex 3mg/ml - gel oftálmico 10ml;Medicamentos;22.00;126,5;126,5
;Plaque-Off Classic Gato 40g - Embalagem;Suplemento;1.00;9,6;9,6
;SP CPD-S PUPPY SMALL BREED 4 KG;Canídeos - Ração - Seca;0.00;0;0
;RC Cat Diabetic 85g - saqueta;Felídeos - Ração - Húmida;0.00;0;0
;Algália para cão 1.6;Consumíveis;5.00;19,85;19,85
;Atopica 100mg (15-55Kg) - Caixa 60 cápsulas;Medicamentos;0.00;0;0
;Fato pós-cirurgia cão Tm06 Macho/Fêmea Dry - Rosa/Verde;Bem-estar Animal;3.00;69,15;69,15
;Crotax 8mg/ml - colírio 5ml;Medicamentos;10.00;46,1;46,1
;Schesir NS Cão Small Peru 2.24Kg;Canídeos - Ração - Seca;0.00;0;0
;Algália para gato 1.3 (c/ estilete);Consumíveis;14.00;0;0
;Neorecormon 3000UI (Eritropoietina) - 1 ampolas;Medicamentos;0.00;0;0
;Solu-medrol 40mg/1ml - 1 ampola *f;Injectáveis;4.00;7,88;7,88
;Fio sutura 2/0 T (Premilene/Optilene);Consumíveis;1.00;0;0
;TOW CÃO PUPPY BISONTE 12.2KG - H. Prairie;Canídeos - Ração - Seca;0.00;0;0
;Klearotic - frasco 118ml;Suplemento;0.00;0;0
;Corpet - embalagem de 90 comprimidos;Suplemento;0.00;0;0
;Schesir Carnivore Gato Frango/Arenque 1.25Kg;Felídeos - Ração - Seca;1.00;14,65;14,65
;Fato Pós-Cirurgia cão Tm08 Macho/Fêmea Dry - Verde/Rosa;Bem-estar Animal;4.00;98,4;98,4
;Tralieve 20 (tramadol) - comprimido;Medicamentos;66.00;27,06;27,06
;Fato pós-cirurgia cão Tm15 Macho Dry - Azul;Bem-estar Animal;2.00;74,6;74,6
;Schesir Gato Grill - Lata 70g;Felídeos - Ração - Húmida;0.00;0;0
;Numelvi 21,6mg - blister de 30 comprimidos;Medicamentos;0.00;0;0
;Tralieve 80 (tramadol) - comprimido;Medicamentos;45.00;26,55;26,55
;Credelio gato 2-8kg 48mg - comprimido;Felídeos - Desp.externo - Comprimido;71.00;428,13;428,13
;AD Cat  Adult Chicken and Rice 1,5kg;Felídeos - Ração - Seca;1.00;7,95;7,95
;K For Cat - 60 Capsulas;Medicamentos;2.00;33,98;33,98
;Zenrelia 6,4mg - comprimido;Medicamentos;0.00;0;0
;Butomidor / Dolorex (butorfanol) - 0,1ml *f;Injectáveis;1.00;67,1;67,1
;Fato pós-cirurgia cão Tm12 Macho/Fêmea Dry - Rosa / Verde;Bem-estar Animal;2.00;64,36;64,36
;Selehold 2,6-7,5kg - 1 pipeta;Felídeos - Desp.externo - Pipeta;12.00;61,68;61,68
;Weskin - Limpeza auricular 100ml;Tratamentos;0.00;0;0
;Manipulado Omeprazol 5mg - 90 cápsulas;Medicamentos;0.00;0;0
;Imizol - ml *f;Injectáveis;0.00;0;0
;Advocate Cão - 0,4ml - (0-4kg) - pipeta;Canídeos - Desp.externo - Pipeta;0.00;0;0
;Sabão Liquido para dosificador mural (cirurgia);Consumíveis;0.00;0;0
;Fato Pós-Cirurgia Cão Tm13 Macho/Fêmea Dry - Rosa/Verde;Bem-estar Animal;3.00;0;0
;WeJoint Plus Pasta 30ml;Suplemento;0.00;0;0
;Kong - Low stuff - binquedo cão ovelha branca;Outros;0.00;0;0
;WeJoint Plus BISCOITOS R. Pequenas - caixa 30 unidades;Suplemento;34.00;268,94;268,94
;Manipulado Clopidogrel 18,75mg - 90 cápsulas;Medicamentos;0.00;0;0
;Advocate Cão - 0,4ml - (0-4kg) - caixa *c;Canídeos - Desp.externo - Pipeta;0.00;0;0
;Fio sutura 3/0 (Dafilon);Consumíveis;0.00;0;0
;Fato pós-cirurgia cão Tm00 Macho Dry - Azul;Bem-estar Animal;1.00;11,44;11,44
;Kong - confort - binquedo leão;Outros;0.00;0;0
;AD Cat Wet Kitten Chicken 85g;Felídeos - Ração - Húmida;0.00;0;0
;Seringa 10ml *f - Caixa;Consumíveis;7.00;80,29;80,29
;Advocate Gato - 0,8ml - (+4kg) - pipeta;Felídeos - Desp.externo - Pipeta;0.00;0;0
;Nexgard (02-04kg) - 11mg;Canídeos - Desp.externo - Comprimido s/ prev.dirofilariose;0.00;0;0
;SP FRW WEIGHT REDUCTION 100 GR;Felídeos - Ração - Húmida;4.00;3,76;3,76
;Fato pós-cirurgia cão Tm05 Macho Dry - Azul;Bem-estar Animal;1.00;21,95;21,95
;Tris-Nac (EDTA + Acetilcisteína) - 5ml;Medicamentos;0.00;0;0
;Schesir Kit Kitten Care;Felídeos - Ração - Húmida;2.00;19,98;19,98
;Seringa 5ml *f - Caixa;Consumíveis;10.00;60,6;60,6
;Flexadine Advance 60 comprimidos;Medicamentos;0.00;0;0
;Colocação de microchip PETITE (inclui microchip e registo);Consultas;48.00;118,08;118,08
;Fato Pós-Cirurgia cão Tm08 Macho Dry - Azul;Bem-estar Animal;1.00;24,6;24,6
;Purina Proplan Convalescence (CN) lata 195g;Canideos e Felídeos - Ração - Húmida;11.00;19,47;19,47
;Nutribird P15 Manutenção Papagaios 1kg;Outros;0.00;0;0
;Vacina Eravac;Injectáveis;10.00;55,3;55,3
;Schesir Cão Atum/Cenoura 285g - lata;Canídeos - Ração - Húmida;7.00;18,76;18,76
;Ownat Cat Hypoallergenic 3kg;Felídeos - Ração - Seca;1.00;15,11;15,11
;Churu Cat Meal Topper - Saqueta (4x14g);Felídeos - Ração - Húmida;31.00;0;0
;Seringa 2ml *f - Caixa;Consumíveis;17.00;83,98;83,98
;Nexgard (04-10kg) - 28mg;Canídeos - Desp.externo - Comprimido s/ prev.dirofilariose;0.00;0;0
;RC Cat Urinary S/O - Lata 195g;Felídeos - Ração - Húmida;0.00;0;0
;TOW CÃO ADULTO JAVALI 2KG - Southwest Canion;Canídeos - Ração - Seca;0.00;0;0
;Fato pós-cirurgia cão Tm13 Macho Dry - Azul;Bem-estar Animal;2.00;38,52;38,52
;Purina Proplan Obesity (OM) 10*85g (Caixa);Felídeos - Ração - Húmida;0.00;0;0
;RC Cat Satiety weight management - 1,5kg;Felídeos - Ração - Seca;0.00;0;0
;Hamster & Gerbil Complete 2kg;Outros;0.00;0;0
;AD Dog Medium Light Chicken and Rice 12Kg;Canídeos - Ração - Seca;0.00;0;0
;Schesir Gato Frango/Ananás/Cenoura 85g - latinha;Felídeos - Ração - Húmida;4.00;4,8;4,8
;Ownat Dog Autor - Fresh Duck/Chicken 3kg;Canídeos - Ração - Seca;0.00;0;0
;Snacks Dibaq Sense 100g;Canideos e Felídeos - Ração - Seca;41.00;43,46;43,46
;Seringa 1ml *f - Caixa;Consumíveis;9.00;44,46;44,46
;AD Dog Low Purine Leishmaniasis 12Kg;Canídeos - Ração - Seca;0.00;0;0
;Nexgard (10-25kg) - 68mg;Canídeos - Desp.externo - Comprimido s/ prev.dirofilariose;0.00;0;0
;SP CCD Struvite Management 12kg;Canídeos - Ração - Seca;0.00;0;0
;Fato pós-cirurgia cão Tm14 Macho Dry - Azul;Bem-estar Animal;2.00;42,06;42,06
;Applaws Cat Kitten Chicken 7,5kg;Felídeos - Ração - Seca;0.00;0;0
;Barrita Hamster & Gerbos Mel 2 un;Outros;0.00;0;0
;Caninsulin Vetpen (10x2.7ml) - Caixa;Injectáveis;0.00;0;0
;Purina Proplan Gastrointestinal Cão (EN) lata 400g;Canídeos - Ração - Húmida;0.00;0;0
;Amanova Gato Atum e Peixe Branco - lata 70g;Felídeos - Ração - Húmida;23.00;19,78;19,78
;Nexgard (25-50kg) - 136mg;Canídeos - Desp.externo - Comprimido s/ prev.dirofilariose;0.00;0;0
;Tobrex - colírio - 5ml;Medicamentos;0.00;0;0
;RC Cat Renal lata 195g;Felídeos - Ração - Húmida;0.00;0;0
;Barrita Gerbos Girassol & Mel 2 un;Outros;0.00;0;0
;Omeprazol 5mg/ml - Suspensão oral 100ml;Medicamentos;0.00;0;0
;WeSkin Calm Spot 50ml;Suplemento;2.00;14,94;14,94
;Mastidina - Pomada 250g;Animais de produção - Medicamentos;0.00;0;0
;Lesperim Lespedeza 50mg - embalagem;Suplemento;1.00;9,75;9,75
;Pack Barritas Omníveros 3 Variedades 165g;Outros;0.00;0;0
;RC Dog Hypoallergenic - Lata 200g;Canídeos - Ração - Húmida;10.00;16,2;16,2
;Antigo Exagon - 100ml f* - não utilizar;Injectáveis;0.00;0;0
;RC Cat Renal (Chicken) 85g;Felídeos - Ração - Húmida;9.00;6,93;6,93
;Webiotic - Blister de 10 comprimidos;Suplemento;41.00;145,55;145,55
;AD Dog Atopic Mini 1,5Kg;Canídeos - Ração - Seca;0.00;0;0
;RC Cat Gastro Intestinal 4KG;Felídeos - Ração - Seca;0.00;0;0
;Banacep / Benakor / Benadil 5mg - blister de 14 comprimidos;Medicamentos;34.00;146,2;146,2
;RC Cat Renal (Fish) 85g;Felídeos - Ração - Húmida;19.00;14,63;14,63
;Areia Sanicat Active White Fragrance Free 10l;Bem-estar Animal;0.00;0;0
;Palladia 15mg - embalagem de 20 comprimidos;Medicamentos;0.00;0;0
;RC Cat Ageing +11Anos Sterilised 2Kg;Felídeos - Ração - Seca;0.00;0;0
;RC Cat Ageing +11 4kg;Felídeos - Ração - Seca;0.00;0;0
;Applaws Cat Tuna in Jelly 70g;Felídeos - Ração - Húmida;0.00;0;0
;SP FOD-HY Allergy Management Plus HY* 0,4 KG;Felídeos - Ração - Seca;0.00;0;0
;RC Cat Renal (Beef) 85g;Felídeos - Ração - Húmida;24.00;18,48;18,48
;Areia Sanicat Strong Clumps Baby Powder 6l;Bem-estar Animal;0.00;0;0
;Wefiber - embalagem de 225mg;Suplemento;4.00;51,4;51,4
;Abelia Ceruotic 180ml;Suplemento;3.00;35,97;35,97
;Oridermyl pomada 30g;Medicamentos;0.00;0;0
;VetDerma - Champô;Bem-estar Animal;0.00;0;0
;Areia Sanicat Active White Lotus 10l;Bem-estar Animal;0.00;0;0
;Purina Proplan Sensitive Skin +7 ML Optiderma 14Kg;Canídeos - Ração - Seca;0.00;0;0
;RC Cat Urinary S/O MC - 9kg;Felídeos - Ração - Seca;0.00;0;0
;AD Dog Snacks Hypoalergenic 150g;Canídeos - Ração - Seca;56.00;110,88;110,88
;AD Cat Sterilized Turkey and Barley 400g;Felídeos - Ração - Seca;0.00;0;0
;Areia Sanicat Strong Clumps Baby Powder 10l;Bem-estar Animal;0.00;0;0
;AD Dog Mini Puppy Chicken and Rice 1,5kg;Canídeos - Ração - Seca;0.00;0;0
;Zenalpha 10ml f*;Medicamentos;0.00;0;0
;RC Cat Urinary S/O - 1,5kg;Felídeos - Ração - Seca;2.00;24,62;24,62
;SP CRW-1 Weight Reduction 300g;Canídeos - Ração - Húmida;0.00;0;0
;SP FND Neutered Young 2kg;Felídeos - Ração - Seca;0.00;0;0
;AD Dog Medium Adult Chicken and Rice 3kg;Canídeos - Ração - Seca;16.00;181,92;181,92
;TOW CÃO LATA BORREGO;Canídeos - Ração - Húmida;0.00;0;0
;RC Dog Renal Select - 2kg;Canídeos - Ração - Seca;0.00;0;0
;Não há!!! Bravecto spot-on cão 250mg 4,5-10kg;Canídeos - Desp.externo - Pipeta;0.00;0;0
;WeDerm 30ml;Suplemento;0.00;0;0
;Schesir Gato Atum/Dourado 85g - latinha;Felídeos - Ração - Húmida;0.00;0;0
;RC Cat Renal 2Kg;Felídeos - Ração - Seca;1.00;21,43;21,43
;VB Vetcomplex  Cat Digestive Adult 1,5kg;Felídeos - Ração - Seca;0.00;0;0
;Fato pós-cirurgia gato Tm03 - Azul;Bem-estar Animal;0.00;0;0
;RC Dog Gastro Intestinal Low Fat - Lata 200g;Canídeos - Ração - Húmida;0.00;0;0
;Schesir Gato Salmão 85g - latinha;Felídeos - Ração - Húmida;0.00;0;0
;RC X-Small Puppy 3KG;Canídeos - Ração;0.00;0;0
;Convalescence TS Diet - 30g;Suplemento;4.00;11,28;11,28
;RC Junior Small Dog < 10 - 2kg;Canídeos - Ração - Seca;0.00;0;0
;AD Dog Medium/Maxi Sensitive Salmon and Rice 3kg;Canídeos - Ração - Seca;6.00;75;75
;RC Dog Mature Small - 1,5kg;Canídeos - Ração - Seca;0.00;0;0
;Vitamina K1 - comprimido;Medicamentos;0.00;0;0
;RC Cat Multifunction Urinary&Hipo - 2kg;Felídeos - Ração - Seca;0.00;0;0
;Bravecto injetável - Frasco;Canídeos - Desp.externo;1.00;509,67;509,67
;RC Junior Small Dog < 10 - 4,0kg;Canídeos - Ração - Seca;0.00;0;0
;Vacina Nobilis MA5 + clone 30 (galinhas) - 1 embalagem;Animais de Produção - Vacinas;0.00;0;0
;Trovetplus Cão Adulto Hipoalergénica Javali 3Kg;Canídeos - Ração - Seca;0.00;0;0
;Kimivita 250ml;Suplemento;2.00;0;0
;Vetrap (Askina, Cohesive) *f;Consumíveis;28.00;32,48;32,48
;U-vita - gel para cães;Suplemento;0.00;0;0
;AD Cat Obesity / Weight Balance 3kg;Felídeos - Ração - Seca;2.00;35,24;35,24
;Agulhas VetPen 12mm - Caixa 100un;Injectáveis;0.00;0;0
;Adesivo (Askina, Leukoplast, TNT, Omnisilk) *f;Consumíveis;6.00;33,06;33,06
;Shampoo Neutralizador Odores;Medicamentos;0.00;0;0
;Applaws Cat Adult Chicken and Duck 2kg;Felídeos - Ração - Seca;0.00;0;0
;Ivomec F  - 200ml;Animais de Produção - Injectáveis;0.00;0;0
;RC Dog Urinary Small Dog - 4kg;Canídeos - Ração - Seca;0.00;0;0
;Catéter Butterfly;Consumíveis;30.00;9,6;9,6
;Fortiflora gato - Caixa (30 saquetas);Suplemento;0.00;0;0
;Abelia Tris EDTA 118ml;Suplemento;8.00;95,28;95,28
;Ligadura em gaze *f;Consumíveis;60.00;19,8;19,8
;Speed Leish K - Despiste da Leishmaniose;Análises - Simples;38.00;258,02;258,02
;WeBiotic Fast - 15ml;Suplemento;16.00;91,04;91,04
;Neorecormon 500UI (Eritropoietina) - 1 ampolas;Injectáveis;10.00;15,7;15,7
;RC Cat Renal Special 2Kg;Felídeos - Ração - Seca;0.00;0;0
;Penso hidrocoloide (Askina biofilme);Consumíveis;0.00;0;0
;Omnicondro - blister de 6 comprimidos;Suplemento;27.00;85,59;85,59
;Advantage 40 cão menos 4kg - pipeta;Canídeos - Desp.externo - Pipeta;0.00;0;0
;RC Cat Hypoallergenic 2,5Kg;Felídeos - Ração - Seca;0.00;0;0
;Abelia Tris Glycozoo 118ml;Medicamentos;3.00;51,06;51,06
;Compressa absorvente (Zetuvit E) *f;Consumíveis;0.00;0;0
;Calmex Gatos 60ml;Suplemento;0.00;0;0
;NÃO USAR XXX Effivet - Hidrogel - 60ml - Azul Claro;Suplemento;0.00;0;0
;Schesir Cão Frango/Maçã 150g - latinha;Canídeos - Ração - Húmida;1.00;1,8;1,8
;Keyvit 50mg - 1 comprimido;Medicamentos;0.00;0;0
;Ownat Dog Fish 20kg;Canídeos - Ração - Seca;0.00;0;0
;SP CGD-S SENIOR SMALL BREED 7Kg;Canídeos - Ração - Seca;1.00;22,34;22,34
;Amanova Cao Peru Delight 300g;Canídeos - Ração - Húmida;11.00;25,41;25,41
;Ligadura em crepe *f;Consumíveis;20.00;10;10
;Effivet Hidrogel 250ml;Suplemento;0.00;0;0
;RC Renal Liquid 200ml;Felídeos - Ração - Húmida;0.00;0;0
;TOW Prey Cão Angus Vaca 11,3Kg;Canídeos - Ração - Seca;0.00;0;0
;Sanicat clumping white cotton fresh;Bem-estar Animal;0.00;0;0
;Purina Gourmet Revelations Mousse - Caixa (6x4x57g);Felídeos - Ração - Húmida;0.00;0;0
;Amanova Cao Brilliant Beef & Chicken 300g;Canídeos - Ração - Húmida;18.00;41,4;41,4
;Água destilada;Consumíveis;0.00;0;0
;Fentadon (fentanilo) - 10ml *f;Medicamentos;1.00;16,39;16,39
;Amanova Puppy Medium Frango&Quinoa 12Kg;Canídeos - Ração - Seca;0.00;0;0
;Ligadura em algodão *f;Consumíveis;10.00;0;0
;TOW GATO VEADO 2KG  - Rocky Mountain Feline;Felídeos - Ração - Seca;0.00;0;0
;Uranotest Quattro - teste rápido;Análises - Pack ;0.00;0;0
;Feliway - Recarga 48mL;Suplemento;3.00;57,84;57,84
;Applaws Cat Chicken in Jelly 70g;Felídeos - Ração - Húmida;0.00;0;0
;Clavaseptin 750mg - comprimido;Medicamentos;0.00;0;0
;Ownat Dog Ultra Mini Junior 3kg;Canídeos - Ração - Seca;0.00;0;0
;Trovetplus Cão Adulto Hipoalergénica Cavalo 10Kg;Canídeos - Ração - Seca;0.00;0;0
;Agulha 23G (azul) *f - Caixa;Consumíveis;22.00;51,92;51,92
;Penamox /Clavobay/Clavudale/Clavaseptin/Synulox 250 (amoxicilina+ácido clavulânico) - comprimido;Medicamentos;0.00;0;0
;Não usar: Tow - Canion Javali 13kg;Canídeos - Ração - Seca;0.00;0;0
;Ownat Dog Dermatologic 3kg;Canídeos - Ração - Seca;0.00;0;0
;Agulha 18G (rosa) *f - Caixa;Consumíveis;16.00;39,52;39,52
;Rheumocan / Inflacam (meloxicam) 1mg - 1 comprimido;Medicamentos;170.00;102;102
;AD Dog Sensitive Salmon and Rice 3kg;Canídeos - Ração - Seca;0.00;0;0
;Agulha 25G (laranja) *f - Caixa;Consumíveis;24.00;58,32;58,32
